,,,,S3-H-1/AO1/PV.CV,,S3-FIC-201/PID1/OUT.CV,,S3-FIC-201/AI1/PV.CV,,S3-LT-31/AI1/PV.CV,,S3-FT-23/AI1/PV.CV,
,,,,20:09:38,1699.73999,20:09:38,100,20:09:38,1838.782959,20:09:38,398.6430969,20:09:38,1820.311035
,,,,20:09:40,1699.73999,20:09:40,100,20:09:40,1839.587036,20:09:40,403.9450989,20:09:40,1820.526001
,,,,20:09:42,1699.73999,20:09:42,100,20:09:42,1838.495972,20:09:42,409.0704041,20:09:42,1819.363037
,,,,20:09:44,1699.73999,20:09:44,100,20:09:44,1834.562988,20:09:44,414.229187,20:09:44,1817.698975
,,,,20:09:46,1699.73999,20:09:46,100,20:09:46,1829.197998,20:09:46,419.3724976,20:09:46,1811.333984
,,,,20:09:48,1699.73999,20:09:48,100,20:09:48,1826.498047,20:09:48,424.5090027,20:09:48,1808.937988
,,,,20:09:50,1699.73999,20:09:50,100,20:09:50,1823.100952,20:09:50,429.8153992,20:09:50,1804.253052
,,,,20:09:52,1699.73999,20:09:52,100,20:09:52,1822.13501,20:09:52,435.3139954,20:09:52,1803.251953
,,,,20:09:54,1699.73999,20:09:54,100,20:09:54,1814.946045,20:09:54,441.0003052,20:09:54,1797.56604
,,,,20:09:56,1699.73999,20:09:56,100,20:09:56,1810.368042,20:09:56,446.7760925,20:09:56,1795.151001
,,,,20:09:58,1824.712036,20:09:58,100,20:09:58,1820.472046,20:09:58,452.3731079,20:09:58,1822.241943
,,,,20:10:00,2199.629883,20:10:00,100,20:10:00,1931.730957,20:10:00,458.3366089,20:10:00,2006.189941
,,,,20:10:02,2199.629883,20:10:02,100,20:10:02,2166.677979,20:10:02,465.2434082,20:10:02,2288.594971
,,,,20:10:04,2199.629883,20:10:04,100,20:10:04,2263.525879,20:10:04,472.6151123,20:10:04,2301.864014
,,,,20:10:06,2199.629883,20:10:06,100,20:10:06,2299.270996,20:10:06,479.7275085,20:10:06,2297.23291
,,,,20:10:08,2199.629883,20:10:08,100,20:10:08,2312.62793,20:10:08,486.2007141,20:10:08,2294.407959
,,,,20:10:10,2199.629883,20:10:10,100,20:10:10,2312.824951,20:10:10,492.2224121,20:10:10,2295.783936
,,,,20:10:12,2199.629883,20:10:12,100,20:10:12,2308.22998,20:10:12,498.1142883,20:10:12,2290.437988
,,,,20:10:14,2199.629883,20:10:14,100,20:10:14,2303.3479,20:10:14,503.7380981,20:10:14,2289.399902
,,,,20:10:16,2199.629883,20:10:16,100,20:10:16,2299.181885,20:10:16,508.9551086,20:10:16,2282.051025
,,,,20:10:18,2199.629883,20:10:18,100,20:10:18,2294.354004,20:10:18,514.3486938,20:10:18,2278.670898
,,,,20:10:20,2199.629883,20:10:20,100,20:10:20,2292.708008,20:10:20,521.7606201,20:10:20,2277.3479
,,,,20:10:22,2199.629883,20:10:22,100,20:10:22,2291.850098,20:10:22,528.897583,20:10:22,2272.14502
,,,,20:10:24,2199.629883,20:10:24,100,20:10:24,2287.629883,20:10:24,535.2501221,20:10:24,2271.519043
,,,,20:10:26,2199.629883,20:10:26,100,20:10:26,2280.136963,20:10:26,541.6071167,20:10:26,2267.531006
,,,,20:10:28,2199.629883,20:10:28,100,20:10:28,2275.666992,20:10:28,547.6912842,20:10:28,2266.083008
,,,,20:10:30,2199.629883,20:10:30,100,20:10:30,2276.955078,20:10:30,554.0349121,20:10:30,2263.292969
,,,,20:10:32,2199.629883,20:10:32,100,20:10:32,2278.099121,20:10:32,560.3604736,20:10:32,2263.00708
,,,,20:10:34,2199.629883,20:10:34,100,20:10:34,2278.062988,20:10:34,566.2614136,20:10:34,2261.147949
,,,,20:10:36,2199.629883,20:10:36,100,20:10:36,2277.008057,20:10:36,571.9030151,20:10:36,2254.888916
,,,,20:10:38,2199.629883,20:10:38,100,20:10:38,2271.25,20:10:38,577.5983887,20:10:38,2248.862061
,,,,20:10:40,2199.629883,20:10:40,100,20:10:40,2261.200928,20:10:40,583.4412231,20:10:40,2246.698975
,,,,20:10:42,2199.629883,20:10:42,100,20:10:42,2261.522949,20:10:42,589.4852295,20:10:42,2244.893066
,,,,20:10:44,2199.629883,20:10:44,100,20:10:44,2261.021973,20:10:44,595.5648804,20:10:44,2242.103027
,,,,20:10:46,2199.629883,20:10:46,100,20:10:46,2259.789063,20:10:46,601.680481,20:10:46,2239.86792
,,,,20:10:48,2118.547119,20:10:48,100,20:10:48,2158.023926,20:10:48,607.6796875,20:10:48,2052.199951
,,,,20:10:50,1734.368042,20:10:50,100,20:10:50,1696.819946,20:10:50,613.6478271,20:10:50,1319.624023
,,,,20:10:52,1168.357056,20:10:52,75,20:10:52,1084.515991,20:10:52,618.109314,20:10:52,684.5567017
,,,,20:10:54,597.9299927,20:10:54,0,20:10:54,566.0012207,20:10:54,620.6260986,20:10:54,286.7002869
,,,,20:10:56,131.6699982,20:10:56,0,20:10:56,106.6140976,20:10:56,621.4129028,20:10:56,0
,,,,20:10:58,0,20:10:58,0,20:10:58,0,20:10:58,619.9332275,20:10:58,0
,,,,20:11:00,0,20:11:00,0,20:11:00,0,20:11:00,617.8409424,20:11:00,0
